Text,Category
bt boosts its broadband packages british telecom has said it will double the broadband speeds of most of its home and business customers. the increased speeds will come at no extra charge and follows a similar move by internet service provider aol.,tech
china had role in yukos split-up china lent russia $6bn (£3.2bn) to help the russian government renationalise the key yuganskneftegas unit of oil group yukos  it has been revealed. the kremlin said on tuesday that the $6bn which russian state bank veb lent state-owned rosneft to help buy yugansk in turn came from chinese banks.,business
peer-to-peer nets  here to stay  peer-to-peer (p2p) networks are here to stay  and are on the verge of being exploited by commercial media firms  says a panel of industry experts. once several high-profile legal cases against file-sharers are resolved this year  firms will be very keen to try and make money from p2p technology.,tech
henman to face saulnier test british number one tim henman will face france s cyril saulnier in the first round of next week s australian open. greg rusedski  the british number two  is in the same quarter of the draw and could face andy roddick in the second round if he beats swede jonas bjorkman.,sport
uk will stand firm on eu rebate  britain s £3bn eu rebate is not up for renegotiation at next week s european council summit  jack straw said. the foreign secretary told mps the rebate  secured by margaret thatcher in 1984  was  entirely justified .,politics
iran budget seeks state sell-offs iran s president  mohammad khatami  has unveiled a budget designed to expand public spending by 30% but loosen the islamic republic s dependence on oil. the budget for the fiscal year starting on 21 march calls for the sell-off of 20% of the state s corporate holdings.,business
pompeii gets digital make-over the old-fashioned audio tour of historical places could soon be replaced with computer-generated images that bring the site to life. a european union-funded project is looking at providing tourists with computer-augmented versions of archaeological attractions.,tech
rapper snoop dogg sued for  rape  us rapper snoop dogg has been sued for $25m (£13m) by a make-up artist who claimed he and his entourage drugged and raped her two years ago. the woman said she was assaulted after a recording of the jimmy kimmel live tv show on the abc network in 2003.,entertainment
china continues rapid growth china s economy has expanded by a breakneck 9.5% during 2004  faster than predicted and well above 2003 s 9.1%. the news may mean more limits on investment and lending as beijing tries to take the economy off the boil.,business
security papers  found in street  an inquiry is under way after files containing security details about the pakistani president s visit to london were found by a member of the public. the files are believed to contain detailed security arrangements for gen pervez musharraf s visit this week  including police codes.,politics
philippoussis doubt over open bid mark philippoussis is almost certain to miss the australian open after suffering a groin injury during the hopman cup loss to the netherlands. the 28-year-old suffered two tears to the adductor muscle and was unable to play in the deciding mixed doubles.,sport
musical treatment for capra film the classic film it s a wonderful life is to be turned into a musical by the producer of the controversial hit show jerry springer - the opera. frank capra s 1946 movie starring james stewart  is being turned into a £7m musical by producer jon thoday.,entertainment
corry backs skipper robinson england forward martin corry says jason robinson is the right man to lead the national team back to winning ways. after losses to wales and france  critics have started to wonder whether robinson can captain from full-back.,sport
yachvili savours france comeback france scrum-half dimitri yachvili praised his team after they fought back to beat england 18-17 in the six nations clash at twickenham. yachvili kicked all of france s points as they staged a second-half revival.,sport
prop jones ready for hard graft adam jones says the wales forwards are determined to set the perfect attacking platform for the backs by dominating the powerful france pack in paris. the prop said:  if we get stuffed in the front five our backs have had it.,sport
security scares spark browser fix microsoft is working on a new version of its internet explorer web browser. the revamp has been prompted by microsoft s growing concern with security as well as increased competition from rival browsers.,tech
argonaut founder rebuilds empire jez san  the man behind the argonaut games group which went into administration a week ago  has bought back most of the company. the veteran games developer has taken over the cambridge-based just add monsters studios and the london subsidiary morpheme.,tech
mcleish ready for criticism rangers manager alex mcleish accepts he is going to be criticised after their disastrous uefa cup exit at the hands of auxerre at ibrox on wednesday. mcleish told bbc radio five live:  we were in pole position to get through to the next stage but we blew it  we absolutely blew it.,sport
premier league planning cole date the premier league is attempting to find a mutually convenient date to investigate allegations chelsea made an illegal approach for ashley cole. both chelsea and arsenal will be asked to give evidence to a premier league commission  but no deadline has been put on when that meeting will convene.,sport
viewers to be able to shape tv imagine editing titanic down to watch just your favourite bits or cutting out the slushier moments of star wars to leave you with a bare bones action-fest. manipulating your favourite films to make a more personalised movie is just the beginning of an ambitious new 7.5m euro (£5.1m) project funded by the european union.,tech
obituary: dame alicia markova dame alicia markova  who has died in bath aged 94  was the uk s first prima ballerina of the modern age  and  in her heyday  the greatest in the western world. she was born lilian alicia marks in london in 1910.,entertainment
tv station refuses adoption show a tv station in the us has refused to show a controversial new series where adopted children try and pick their birth father - and win a cash prize. the wraz-tv fox affiliate in north carolina was the only one of 182 stations to refuse monday s show.,entertainment
china  ripe  for media explosion asia is set to drive global media growth to 2008 and beyond  with china and india filling the two top spots  analysts have predicted. japan  south korea and singapore will also be strong players  but china s demographics give it the edge  a media conference in london heard.,tech
broadband fuels online change fast web access is encouraging more people to express themselves online  research suggests. a quarter of broadband users in britain regularly upload content and have personal sites  according to a report by uk think-tank demos.,tech
halo 2 sells five million copies microsoft is celebrating bumper sales of its xbox sci-fi shooter  halo 2. the game has sold more than five million copies worldwide since it went on sale in mid-november  the company said.,tech
bank set to leave rates on hold uk interest rates are set to remain on hold at 4.75% following the latest meeting of the bank of england. the bank s rate-setting committee has put up rates five times in the past year but rates have been on hold since september amid signs of a slowdown.,business
telewest to challenge sky plus cable firm telewest is to offer a personal video recorder (pvr) in a set -top box to challenge sky plus. sky plus is the market leader in the field of digital video recorders in the uk  with 474 000 subscribers.,tech
mourinho defiant on chelsea form chelsea boss jose mourinho has insisted that sir alex ferguson and arsene wenger would swap places with him. mourinho s side were knocked out of the fa cup by newcastle last sunday before seeing barcelona secure a 2-1 champions league first-leg lead in the nou camp.,sport
mps quiz aides over royal income senior officials at the two bodies generating private income for the queen and prince of wales are to be questioned by mps. aides from the duchy of lancaster and duchy of cornwall will appear before the commons public accounts committee.,politics
federer claims dubai crown world number one roger federer added the dubai championship trophy to his long list of successes - but not before he was given a test by ivan ljubicic. top seed federer looked to be on course for a easy victory when he thumped the eighth seed 6-1 in the first set.,sport
calder fears for scottish rugby former scotland international finlay calder fears civil war at the sru could seriously hamper his country s rbs six nations campaign. four members of the executive board  including the chairman  david mackay  have resigned after a simmering row.,sport
blair buys copies of new band aid prime minister tony blair purchased two copies of the charity single band aid 20 in edinburgh on friday. staff were surprised when the prime minister walked into hmv at 0900 gmt  accompanied by aides and local police.,entertainment
borussia dortmund near bust german football club and former european champion borussia dortmund has warned it will go bankrupt if rescue talks with creditors fail. the company s shares tumbled after it said it has  entered a life-threatening profitability and financial situation .,business
german growth goes into reverse germany s economy shrank 0.2% in the last three months of 2004  upsetting hopes of a sustained recovery. the figures confounded hopes of a 0.2% expansion in the fourth quarter in europe s biggest economy.,business
tory backing for id cards the tories are to back controversial government plans to introduce id cards. the shadow cabinet revealed its support ahead of next week s commons vote on a bill to introduce compulsory id.,politics
benitez delight after crucial win liverpool manager rafael benitez admitted victory against deportivo la coruna was vital in their tight champions league group. jorge andrade s early own goal gave liverpool a 1-0 win.,sport
dozens held over id fraud site twenty-eight people  including a briton  have been arrested after a global operation against a website allegedly involved in identity fraud. those arrested are accused of operating shadowcrew.com  which investigators claim was a global clearing house for criminals involved in credit card fraud.,tech
arsenal  may seek full share listing  arsenal vice-chairman david dein has said the club may consider seeking a full listing for its shares on the london stock exchange. speaking at the soccerex football business forum in dubai  he said a full listing was  one of the options  for funding after the club moves to its new stadium.,business
prince crowned  top music earner  prince earned more than any other pop star in 2004  beating artists such madonna and elton john in us magazine rolling stone s annual list. the singer banked $56.5m (£30.4m) from concerts  album and publishing sales with his musicology tour and album.,entertainment
what high-definition will do to dvds first it was the humble home video  then it was the dvd  and now hollywood is preparing for the next revolution in home entertainment - high-definition. high-definition gives incredible  3d-like pictures and surround sound.,tech
two nigerian banks set to merge nigerian banks united bank of africa and standard trust bank have agreed plans to merge and create the biggest bank in west africa. the deal is also in line with a 2004 directive from the nigerian central bank that called for more consolidation in the nation s crowded banking sector.,business
dent continues adelaide progress american taylor dent reached the final of the australian hardcourt event in adelaide with a crushing 6-1 6-1 win over argentine juan ignacio chela. dent will meet swede joachim johansson on sunday after the second seed survived a tense tie-break to defeat belgium s olivier rochus 6-1 7-6 (7/5).,sport
stalemate in pension strike talks talks aimed at averting national strikes over pension reforms have ended without agreement after 90 minutes. five public sector unions met deputy prime minister john prescott at the labour spring conference in gateshead.,politics
tories outlining policing plans local communities would be asked to go to the polls to elect their own area police commissioner  under plans unveiled by the conservatives. party leader michael howard said the new role would replace  inconspicuous  police authorities.,politics
us state acts to stop  spammers  us state texas has filed a lawsuit against two men believed to be among the world s top five spammers. it is seeking millions of dollars in damages in a civil lawsuit filed earlier this week.,tech
gates opens biggest gadget fair bill gates has opened the consumer electronics show (ces) in las vegas  saying that gadgets are working together more to help people manage multimedia content around the home and on the move. mr gates made no announcement about the next generation xbox games console  which many gadget lovers had been hoping for.,tech
aragones angered by racism fine spain coach luis aragones is furious after being fined by the spanish football federation for his comments about thierry henry. the 66-year-old criticised his 3000 euros (£2 060) punishment even though it was far below the maximum penalty.,sport
camera phones are  must-haves  four times more mobiles with cameras in them will be sold in europe by the end of 2004 than last year  says a report from analysts gartner. globally  the number sold will reach 159 million  an increase of 104%.,tech
vickery upbeat about arm injury england prop phil vickery is staying positive despite a broken arm ruling him out of the rbs six nations. the 28-year-old fractured the radius in his right forearm during gloucester s 17-16 win over bath on saturday.,sport
balco case trial date pushed back the trial date for the bay area laboratory cooperative (balco) steroid distribution case has been postponed. us judge susan illston pushed back a preliminary evidentiary hearing - which was due to take place on wednesday - until 6 june.,sport
gebrselassie in london triple bid double olympic 10 000m champion haile gebrselassie will race in the london marathon for the next three years. the ethiopian legend won sunday s almeria half-marathon in spain on his return from an operation on his achilles tendon.,sport
china aviation seeks rescue deal scandal-hit jet fuel supplier china aviation oil has offered to repay its creditors $220m (£117m) of the $550m it lost on trading in oil futures. the firm said it hoped to pay $100m now and another $120m over eight years.,business
o driscoll out of scotland game ireland captain brian o driscoll has been ruled out of saturday s rbs six nations clash against scotland. o driscoll was originally named in the starting line-up but has failed to recover from the hamstring injury he picked up in the win over italy.,sport
vodafone appoints new japan boss vodafone has drafted in its uk chief executive william morrow to take charge of its troubled japanese operation. mr morrow will succeed shiro tsuda as president of vodafone kk  japan s number three mobile operator  in april.,business
super size me wins writers  award super size me director morgan spurlock has won the writers guild of america s award for documentary feature writing. the oscar-nominated film followed spurlock as he ate only mcdonald s fast food for an entire month.,entertainment
ukraine strikes turkmen gas deal ukraine has agreed to pay 30% more for natural gas supplied by turkmenistan. the deal was sealed three days after turkmenistan cut off gas supplies in a price dispute that threatened the ukrainian economy.,business
text messages aid disaster recovery text messaging technology was a valuable communication tool in the aftermath of the tsunami disaster in asia. the messages can get through even when the cell phone signal is too weak to sustain a spoken conversation.,tech
peugeot deal boosts mitsubishi struggling japanese car maker mitsubishi motors has struck a deal to supply french car maker peugeot with 30 000 sports utility vehicles (suv). the two firms signed a memorandum of understanding  and say they expect to seal a final agreement by spring 2005.,business
howard pitches for uk ethnic vote michael howard is to make a pitch for britain s ethnic vote urging people who feel  taken for granted  by tony blair to vote conservative. he will say conservatives  share the same values  as the uk s minorities.,politics
clarke to press on with id cards new home secretary charles clarke has vowed to plough on with plans for id cards despite a call for him to  pause for thought  from charles kennedy. the lib dem leader said david blunkett s resignation was a  good opportunity  to question whether the legislation was necessary.,politics
venus stunned by farina elia venus williams suffered a first-round defeat for the first time in four years at the dubai championships. sylvia farina elia  who had lost all nine of her previous meetings with the american fifth seed  won 7-5 7-6 (8-6).,sport
iranian misses israel match iranian striker vahid hashemian will not travel to israel for bayern munich s champions league match against maccabi tel aviv on wednesday. the german club said the player had pulled out because of a back injury.,sport
boris opposes mayor apology ken livingstone should  stick to his guns  and not apologise for his  nazi  comment to a jewish reporter  tory mp boris johnson has insisted. mr johnson also claimed tony blair s intervention in the row was  an attempt to reassure jewish voters .,politics
deal to ban  homophobic  reggae the reggae industry is to refuse to release or stage concerts featuring homophobic songs under a global deal struck with gay rights groups. a damaging campaign against stars such as beenie man and sizzla has been waged over lyrics that allegedly call for gay people to be killed or assaulted.,entertainment
britain boosted by holmes double athletics fans endured a year of mixed emotions in 2004 as stunning victories went hand-in-hand with disappointing defeats and more drugs scandals. kelly holmes finally fulfilled her potential by storming to double gold on the track at the olympic games.,sport
campbell to be lions consultant former government communications chief alastair campbell will act as a media consultant to sir clive woodward s 2005 lions on their tour to new zealand. campbell  who left downing street earlier this year  will advise on media strategy before and during the tour.,sport
could rivalry overshadow election  tony blair and gordon brown are desperately trying to stuff the genie of their rivalry back into the bottle. along with any number of senior cabinet colleagues  they are insisting their only job is to win the next election and govern in the best interests of britain.,politics
2d metal slug offers retro fun like some drill sergeant from the past  metal slug 3 is a wake-up call to today s gamers molly-coddled with slick visuals and fancy trimmings. with its hand-animated sprites and 2d side-scrolling  this was even considered retro when released in arcades four years ago.,tech
straw attacked on china arms moves to lift the european union s ban on arms exports to china have been condemned by human rights groups and the conservatives. the 15 year embargo was imposed in the aftermath of china s crackdown on protesters in tiananmen square in 1989.,politics
ferdinand casts doubt over glazer rio ferdinand has said he is unsure of malcolm glazer s motives after the american billionaire launched a new offer to buy manchester united. the club have confirmed that the glazer family partnership have submitted proposals of a third bid.,sport
best person  for top legal job the  best person for the job  should be appointed lord chancellor  and not necessarily a lawyer or mp  the courts minister has told mps. under reforms  the post of lord chancellor is to be stripped of its judicial functions.,politics
durex maker ssl awaits firm bid uk condom maker ssl international has refused to comment on reports it may be subject to a takeover early in 2005. a financial times report said business intelligence firm gpw was understood to be starting due diligence work on ssl international  for a corporate client.,business
bmw to recall faulty diesel cars bmw is to recall all cars equipped with a faulty diesel fuel-injection pump supplied by parts maker robert bosch. the faulty part does not represent a safety risk and the recall only affects pumps made in december and january.,business
pension hitch for long-living men male life expectancy is much higher than originally estimated  leading pension researchers have said. the pensions policy institute (ppi) said life expectancy for unskilled and professional men has been understated.,business
ryanair in $4bn boeing plane deal budget airline ryanair has placed an order for 70 boeing 737-800 planes  in a deal valued at $4bn (£2.1bn) which should lead to 2 500 new ryanair jobs. it also has an option for a further 70 aircraft  a move which brings the ryanair/boeing order book up to 225 firm orders and options on 193 more.,business
wales win in rome wales secured their first away win in the rbs six nations for nearly four years with a six-try victory in rome. tries from jonathan thomas  tom shanklin and martyn williams gave the visitors a 19-5 half-time advantage.,sport
honda wins china copyright ruling japan s honda has won a copyright case in beijing  further evidence that china is taking a tougher line on protecting intellectual property rights. a court ruled that chongqing lifan industry group must stop selling honda brand motorbikes and said it must pay 1.47m yuan ($177 600) in compensation.,business
ukip could sue veritas defectors the uk independence party could take legal action to unseat two london assembly members who defected to robert kilroy silk s veritas party. damian hockney  now veritas deputy leader  and peter hulme-cross were elected in 2004 on the list system.,politics
security warning over  fbi virus  the us federal bureau of investigation is warning that a computer virus is being spread via e-mails that purport to be from the fbi. the e-mails show that they have come from an fbi.gov address and tell recipients that they have accessed illegal websites.,tech
europe backs digital tv lifestyle how people receive their digital entertainment in the future could change  following the launch of an ambitious european project. in nice last week  the european commission announced its networked & electronic media (nem) initiative.,tech
celebrities get to stay in jungle all four contestants still remain in i m a celebrity ... get me out of here as no evictions were made on the television show on saturday.,entertainment
talks aim to avert pension strike talks aimed at averting a series of national strikes over pensions reforms will take place this weekend. five public sector unions will hold private talks with deputy prime minister john prescott at labour s spring conference in gateshead.,politics
rivals of the £400 apple... the mac mini is the cheapest apple computer ever.,tech
mitsubishi in peugeot link talks trouble-hit mitsubishi motors is in talks with french carmaker psa peugeot citroen about a possible alliance. on tuesday mitsubishi  the only major japanese car firm in the red  confirmed earlier reports of negotiations.,business
bombardier chief to leave company shares in train and plane-making giant bombardier have fallen to a 10-year low following the departure of its chief executive and two members of the board. paul tellier  who was also bombardier s president  left the company amid an ongoing restructuring.,business
ecb holds rates amid growth fears the european central bank has left its key interest rate unchanged at 2% for the 19th month in succession. borrowing costs have remained on hold amid concerns about the strength of economic growth in the 12 nations sharing the euro  analysts said.,business
us interest rate rise expected us interest rates are expected to rise for the fifth time since june following the us federal reserve s latest rate-setting meeting later on tuesday. borrowing costs are tipped to rise by a quarter of a percentage point to 2.25%.,business
fox  too reliant on reality tv  the head of us tv network fox has admitted the broadcaster had relied too heavily on reality tv shows such as the poor-rating who s your daddy. chief executive gail berman said  in the case of this fall we drifted to too much on the unscripted side .,entertainment
gallas sees two-horse race chelsea s william gallas believes they will battle it out with arsenal for the premiership in the coming months.   it ll be a two-horse race all the way to the end of the season because we are both going to give it everything   he told bbc sport. you need to be good and you need a lot of luck.,sport
barclays shares up on merger talk shares in uk banking group barclays have risen on monday following a weekend press report that it had held merger talks with us bank wells fargo. a tie-up between barclays and california-based wells fargo would create the world s fourth biggest bank  valued at $180bn (£96bn).,business
split-caps pay £194m compensation investors who lost money following the split-capital investment trust scandal are to receive £194m compensation  the uk s financial watchdog has announced. eighteen investment firms involved in the sale of the investments agreed the compensation package with the financial services authority (fsa).,business
monsanto fined $1.5m for bribery the us agrochemical giant monsanto has agreed to pay a $1.5m (£799 000) fine for bribing an indonesian official. monsanto admitted one of its employees paid the senior official two years ago in a bid to avoid environmental impact studies being conducted on its cotton.,business
brown to outline presidency goals next year will be  make or break  for development in poorer countries gordon brown will say as he sets out uk goals for its eu and g8 presidencies. the chancellor is due to outline a series of key targets the government will be judged on in 2005.,politics
profits jump at china s top bank industrial and commercial bank (icbc)  china s biggest lender  has seen an 18% jump in profits during 2004. the increase in earnings has allowed the firm to write off bad loans and pave the way for a state bailout and eventual stock-market listing.,business
ministers deny care sums  wrong  ministers have insisted they are committed to free personal care for the elderly despite research suggesting the cost of the policy was under-estimated. a report by the fraser of allander institute says the decision to push ahead with the flagship policy was based on flawed research.,politics
o sullivan quick to hail italians ireland coach eddie o sullivan heaped praise on italy after seeing his side stutter to a 28-17 victory in rome.   it was a hell of a tough game   said o sullivan. we struggled in the first half because we hadn t the football.,sport
apple laptop is  greatest gadget  the apple powerbook 100 has been chosen as the greatest gadget of all time  by us magazine mobile pc. the 1991 laptop was chosen because it was one of the first  lightweight  portable computers and helped define the layout of all future notebook pcs.,tech
can smith work scottish wonders  the worst kept secret in scottish football was revealed on thursday when walter smith was named as the new national manager. from the moment berti vogts  miserable tenure in charge of scotland ended  the former rangers and everton boss has been the overwhelming favourite for the post.,sport
wenger dejected as arsenal slump arsenal manager arsene wenger claimed their display in the 3-1 defeat against bayern munich was  our worst peformance in the champions league . kolo toure s late goal gives the gunners hope for the second leg  but wenger said:  the only positive is that we are still in the tie.,sport
debate needed  on donations cap a cap on donations to political parties should not be introduced yet  the elections watchdog has said. fears that big donors can buy political favours have sparked calls for a limit.,politics
smart search lets art fans browse if you don t know art but know what you like  new search technology could prove a useful gateway to painting. artgarden  developed by bt s research unit  is being tested by the tate as a new way of browsing its online collection of paintings.,tech
uk gets official virus alert site a rapid alerting service that tells home computer users about serious internet security problems is being launched by the uk government. the service  it safe  will issue warnings about damaging viruses  software vulnerabilities and weaknesses on devices such as mobile phones.,tech
gallery unveils interactive tree a christmas tree that can receive text messages has been unveiled at london s tate britain art gallery. the spruce has an antenna which can receive bluetooth texts sent by visitors to the tate.,entertainment
faultless federer has no equal roger federer - nice bloke  fantastic tennis player - the ultimate sportsman. when lleyton hewitt shook his hand after getting another thrashing  a third in as many months  the australian said;,sport
howard and blair tax pledge clash tony blair has said voters will have to wait for labour s manifesto to see if the party has plans to increase tax. the premier was responding to a challenge from tory leader michael howard who said labour would raise taxes in its post-election budget.,politics
shares rise on new man utd offer shares in manchester united closed up 4.75% on monday following a new offer from us tycoon malcolm glazer. the board of the football club is expected to meet early this week to discuss the latest proposal  which values the club at £800m ($1.5bn).,business
benitez joy as reds take control liverpool boss rafael benitez was satisfied after his team s 3-1 win over bayer leverkusen despite conceding a goal in the last minute.   before the game if you had said the score will be 3-1 i would have happily accepted that   said benitez. but you must realise that you have to concentrate right to the very last seconds of a game at this level.,sport
call centre users  lose patience  customers trying to get through to call centres are getting impatient and quicker to hang up  a survey suggests. once past the welcome message  callers on average hang up after just 65 seconds of listening to canned music.,business
hard act to follow for outkast us rap duo outkast s trio of trophies at the mtv europe awards crowns a year of huge success for the band. the latest triumph adds to the three grammys and four american mtv gongs won earlier in this year.,entertainment
wolves appoint hoddle as manager glenn hoddle has been unveiled as the new wolves manager. the ex-england coach has been given a six-month contract to succeed dave jones  who was sacked after the club s poor start to the season.,sport
learning to love broadband we are reaching the point where broadband is a central part of daily life  at least for some  argues technology analyst bill thompson. one of the nice things about being a writer is that i rarely have to go to an office to work.,tech
versace art portfolio up for sale the art collection of murdered fashion designer gianni versace could fetch up to £9m ($17m) when it is auctioned in new york and london later this year. among the pictures for sale are works by roy lichtenstein  andy warhol and henri matisse.,entertainment
tv debate urged for party chiefs broadcasters should fix a date for a pre-election televised debate between the three main political leaders  according to the hansard society. it would then be up to tony blair  michael howard and charles kennedy to decide whether to take part  the non-partisan charity said.,politics
mcdonald s boss bell dies aged 44 charlie bell  the straight-talking former head of fast-food giant mcdonald s  has died of cancer aged 44. mr bell was diagnosed with colorectal cancer in may last year  a month after taking over the top job.,business
wenger handed summer war chest arsenal boss arsene wenger has been guaranteed transfer funds to boost his squad the summer. the club s managing director  keith edelman  stressed that the development of their new £350m stadium had no affect on wenger s spending power.,sport
vera drake scoops film award oscar hopefuls mike leigh and imelda staunton were both winners at the 2004 evening standard british film awards. vera drake - leigh s 1950s drama about a backstreet abortionist - was named best film and staunton  who played the title role  was named best actress.,entertainment
help for indies in download sales a campaign has been launched to help independent labels get their music online and benefit from the growing trend for downloading music. the british phonographic industry has identified a lack of independent music available for download.,entertainment
verizon  seals takeover of mci  verizon has won a takeover battle for us phone firm mci with a bid worth $6.8bn (£3.6bn)  reports say. the two firms are expected to seal the deal on monday morning  according to news agency reports  despite what was thought to be a higher bid from qwest.,business
irish markets reach all-time high irish shares have risen to a record high  with investors persuaded to buy into the market by low inflation and strong growth forecasts. the iseq index of leading shares closed up 23 points to 6661.89 on thursday  fuelled by strong growth in banking and financial stocks.,business
wenger rules out new keeper arsenal boss arsene wenger says he has no plans to sign a new goalkeeper during the january transfer window. wenger has brought in manuel almunia for the last three games for the out-of-form jens lehmann - but the spaniard himself has been prone to mistakes.,sport
broadband fuels online expression fast web access is encouraging more people to express themselves online  research suggests. a quarter of broadband users in britain regularly upload content and have personal sites  according to a report by uk think-tank demos.,tech
uk  needs true immigration data  a former home office minister has called for an independent body to be set up to monitor uk immigration. barbara roche said an organisation should monitor and publish figures and be independent of government.,politics
fed chief warning on us deficit federal reserve chairman alan greenspan has warned that allowing huge us budget deficits to continue could have  severe  consequences. speaking to the house budget committee he urged congress to take action to cut the deficit  such as increasing taxes.,business
quiksilver moves for rossignol shares of skis rossignol  the world s largest ski-maker  have jumped as much as 15% on speculation that it will be bought by us surfwear firm quiksilver. the owners of rossignol  the boix-vives family  are said to be considering an offer from quiksilver.,business
slovakia reach hopman cup final slovakia will play argentina in the final of the hopman cup after beating group b rivals the netherlands 3-0. daniela hantuchova defeated michaella krajicek 6-4 6-2 to give the slovaks the perfect start before dutchman peter wessels retired against dominik hrbaty.,sport
arthur hailey: king of the bestsellers novelist arthur hailey  who has died at the age of 84  was known for his bestselling page-turners exploring the inner workings of various industries  from the hotels to high finance. born in luton  bedfordshire  on 5 april 1920  hailey was the only child of working class parents  they could not afford to keep him in school beyond the age of 14.,entertainment
collins calls for chambers return world 100m champion kim collins says suspended sprinter dwain chambers should be allowed to compete in the olympics again. chambers was banned for two years after testing positive for the anabolic steroid thg and his suspension runs out in november this year.,sport
tevez - an argentine in brazil some 65 years ago bernardo gandulla left boca juniors in his native argentina and headed for brazil. he arrived at the vasco da gama club with considerable prestige - which he failed to live up to.,sport
