text,category,source,score,length
"A customer at Green's Gourmet Grocery marveled at the proprietor's quick wit and intelligence.  ""Tell me, Green, what makes you so smart?""  ""I wouldn't share my secret with just anyone,"" Green replies, lowering his voice so the other shoppers won't hear. ""But since you're a good and faithful customer, I'll let you in on it. Fish heads. You eat enough of them, you'll be positively brilliant.""  ""You sell them here?"" the customer asks.  ""Only $4 apiece,"" says Green.  The customer buys three. A week later, he's back in the store complaining that the fish heads were disgusting and he isn't any smarter.  ""You didn't eat enough, "" says Green. The customer goes home with 20 more fish heads. Two weeks later, he's back and this time he's really angry.  ""Hey, Green,"" he says, ""You're selling me fish heads for $4 apiece when I can buy the whole fish for $2. You're ripping me off!""  ""You see?"" says Green. ""You're getting smarter already!""",Business,stupidstuff,3.0,236
"""Boss, I've got to have a raise,"" the salesman said to his sales manager. ""There are three other companies after me.""""Is that a fact?"" the manager asked. ""What other companies are after you?""""The electric company, the phone company, and the gas company.""",Office Jokes,stupidstuff,4.5,61
"There were two evil brothers. They were rich, and used their money to keep their ways from the public eye. They even attended the same church, and looked to be perfect Christians. Then, their pastor retired, and a new one was hired. Not only could he see right through the brothers' deception, but he also spoke well and true, and the church started to swell in numbers. A fund-raising campaign was started to build a new assembly. All of a sudden, one of the brothers died. The remaining brother sought out the new pastor the day before the funeral and handed him a check for the amount needed to finish paying for the new building. ""I have only one condition,"" he said. ""At his funeral, you must say my brother was a saint."" The pastor gave his word, and deposited the check. The next day, at the funeral, the pastor did not hold back. ""He was an evil man,"" he said. ""He cheated on his wife and abused his family."" After going on in this vein for a small time, he concluded with, ""But, compared to his brother, he was a saint.""",Money,stupidstuff,3.8,234
"A factory foreman is walking through the work area, and notices that Kawolski isn't at his station.He asks one of the other workers if they know where Kawolski is, and the employee points straight up in the air. The foreman looks up, and there's Kawolski, hanging by one arm from the rafters.""Get down from there, Kawolski,"" he yells, to which Kawolski replies, ""But I'm a light bulb!""The boss is -NOT- impressed, and makes Kawolski climb down and get back to work.About an hour later, the boss is walking through the factory once again, and once again he notices that Kawolski is missing. On a hunch, he looks up, and again sees Kawolski hanging by one arm from the rafters.The foreman makes him climb down, and chews him out, saying that if he catches Kawolski up there one more time, he's going to get fired.Another hour later, the boss is making another round, and sure enough... there's Kawolski, hanging by one arm from the rafters.""That's it, Kawolski,"" he yells. ""You're FIRED!""Kawolski climbs down, and grabs his lunchbox. As he gathers his belongings, all of the other employees stop working, and begin to empty their lockers as well.""What's going on?"" the foreman asks. ""The rest of you had better get back to work right now!""One of the employees turns to the forman and says, ""Sorry boss, but we aren't working without any lights.""",Office Jokes,stupidstuff,1.33,340
"A man went to visit his 90 year old grandfather in a very secluded rural area of the state he lived in.After spending the night, his grandfather prepared breakfast for him consisting of eggs and bacon. He noticed a film like substance on his plate and he questioned his grandfather, ""are these plates clean?""His grandfather replied, ""Those plates are as clean as cold water can get them, so go on and finish your meal"".That afternoon, while eating the hamburgers his grandfather made for lunch, he noticed tiny specks around the edge of his plate and a substance that looked like dried egg yokes, so he ask again, ""Are you sure these plates are clean""?Without looking up from his hamburger, the grandfather says, ""I told you before; those dishes are as clean as cold water can get them. Now don't ask me about it anymore!""Later that afternoon, he was on his way out to get dinner in a nearby town. As he was leaving, his grandfather's dog started to growl and wouldn't let him pass so he said, ""Grandfather, your dog won't let me out"".Without diverting his attention from the football game he was watching on TV his grandfather shouted, ""Cold Water, Go lay down!""",Sports,stupidstuff,3.67,258
"A priest goes to a hairdressing salon, has a haircut, thanks the hairdresser and asks him how much he owes. The hairdresser replies, ""Father, you're a holy man, a man of the cloth, I just couldn't charge you anything, it's on the house.""  The priest is most grateful and says, ""Thank you, my son"" and leaves. When the hairdresser goes to open his shop next morning, almost by magic, he finds 2 gold coins on his doorstep.  Some days later, a Buddhist monk goes to the same hairdressing salon for shave and a wax. When he goes to pay, the hairdresser says, ""You don't have to give me any money, you're a spiritual leader, a man of the people, I just couldn't charge you anything, it's on the house."" The monk bows, shakes his hand and thanks him.  When the hairdresser goes to open his shop next morning, almost by magic, he finds 12 diamonds on his doorstep.   The following week a Rabbi goes into the hairdressing salon to have a haircut and a beard trim.  When he goes to pay, the hairdresser says, ""No, Rabbi, I couldn't ask you to pay anything, it's on the house, you are a learned and wise man, go in peace."" The Rabbi blesses him and leaves.  When the hairdresser goes to open his shop next morning, almost by magic, he finds 12 Rabbis on his doorstep.",Money,stupidstuff,3.89,327
"Eighty-year-old Bessie bursts into the recreation room of the men's retirement home. She holds her clenched fist in the air and saucily announces, ""Anyone who can guess what's in my hand can have sex with me tonight!""  A witty, elderly gentleman in the rear shouts out, ""An elephant?""  Bessie thinks a minute and replies, ""Close enough!""",Money,stupidstuff,2.33,84
"A man is walking down the street when he sees a sign in the window of a travel agency that says CRUISES - $100. He goes into the agency and hands the guy $100. The travel agent then whacks him over the head with a baseball bat and throws him in the river.Another man is walking down the street a half hour later, sees the sign and pays the guy $100. The travel agent then whacks him with the baseball bat and throws him in the river.Sometime later, the two men are floating down the river together and the first man asks, ""Do you think they'll serve any food on this cruise?""The second man says, ""I don't think so. They didn't do it last year.""",Sports,stupidstuff,3.0,156
"""How was your golf game, dear?"" asked Jack's wife Tracy.""Well, I was hitting pretty well, but my eyesight's gotten so bad Icouldn't see where the ball went.""""But you're seventy-five years old, Jack!"" admonished his wife,""Why don't you take my brother Scott along?""""But he's eighty-five and doesn't even play golf anymore,""protested Jack.""But he's got perfect eyesight. He could watch your ball,""Tracy pointed out.The next day Jack teed off with Scott looking on. Jack swung,and the ball disappeared down the middle of the fairway.""Do you see it?"" asked Jack.""Yup,"" Scott answered.""Well, where is it?"" yelled Jack, peering off into the distance.""I forgot.""",Sports,stupidstuff,2.83,167
"A drunk staggers into a bar and says to the bartender,""I'd like to buy everyone in the bar a drink and get one for yourself too!"" The bartender makes the drinks and everyone raises their glass and yells ""CHEERS!"" and downs their drinks. The bartender says ""That'll be $37.50."" The drunk says, ""Kiss my big white rear, 'cuz I don't have any money!"" This infuriates the bartender who then jumps over the bar and beats up the drunk and throws him out into the street. The next day the same drunk walks into the same bar and says, ""I'd like to buy the whole bar a drink, and get one for yourself, too"". The bartender figures that maybe he was a little hard on the guy the day before and decides to give the guy the benefit of the doubt. He makes the drinks and they all say, ""Salute!"" and down the drinks. The bartender says, ""That'll be $42,50."" The drunk replies by putting his thumb to his nose, wiggling his fingers, and making a loud raspberry noise followed by, ""I don't have any money and you can kiss my big white rear!"" This angers the bartender even more than the first time. He jumps over the bar and beats the drunk and throws him out into the street onto his face and kicks him a few times for good measure. The next day the same drunk walks into the same bar, but before he can say anything the bartender says, ""Let me guess, you want to buy the whole bar a drink and I should get one for myself, too, right?"" The drunk replies, ""No way, you get too violent when you drink!""",Money,stupidstuff,1.67,353
"When the store manager returned from lunch, he noticed his clerk's hand was bandaged, but before he could ask about the bandage, the clerk said he had some very good news for him.  ""Guess what, sir?"" the clerk said. ""I finally sold that terrible, ugly suit we've had so long!""  ""Do you mean that repulsive pink-and-blue double-breasted thing?"" the manager asked.  ""That's the one!""  ""That's great!"" the manager cried, ""I thought we'd never get rid of that monstrosity! That had to be the ugliest suit we've ever had! But tell me. Why is your hand bandaged?""  ""Oh,"" the clerk replied, ""after I sold the guy that suit, his guide dog bit me.""",Business,stupidstuff,2.0,171
"A rich businessman had a meeting with his new son-in-law. ""Welcome to the family,"" said the man. ""I'm so happy, I'm making you a 50-50 partner in my business. All you have to do is go to the factory every day and learn the operations."" The son-in-law interrupted. ""Oh, um, I actually hate factories. Can't stand the noise."" The father-in-law said, ""Well, then you'll work in the office and take charge of some of the operations."" ""I hate office work, too"" said the son-on-law. ""I can't stand being stuck behind a desk all day."" ""Wait a minute,"" said the father-in-law. ""I just made you half-owner of a moneymaking organization, but you don't like factories and won't work in a office. What am I going to do with you?"" ""Easy,"" said the young man. ""Buy me out.""",Money,stupidstuff,2.2,206
"An accountant spends a week at his new office with the accountant he is replacing. On the last day the departing accountant tells him that he has left two envelopes in the desk drawer and that the envelope number 1 should be opened if he ever encounters any sort of crisis in the job and envelope number 2 if a further crisis occurs. Three months down the track there is a major drama, all the accounts are wrong - the usual stuff - and the accountant feels very threatened by it all. He remembers the parting words of his predecessor and finds and opens the first envelope. The message inside says ""blame me!"" He does this and gets off the hook. Three months later at his next crisis he opens the second envelope. The message inside says ""Write two envelopes"".",Office Jokes,stupidstuff,2.5,156
"It is the Olympic men's figure skating. Out comes the Russian competitor, he skates around to some classical music in a slightly dull costume, performs some excellent leaps but without any great artistic feel for the music.   The Judges' scores read: Britain 5.8: Russia 5.9: United States 5.5: Ireland 6.0   Next comes the American competitor in a sparkling stars and stripes costume, skating to some rock and roll music. He gets the crowd clapping, but is not technically as good as the Russian. He slightly misses landing a triple Salchow and loses the center during a spin. But, artistically, it is a more satisfying performance.   The Judges' scores read: Britain 5.8: Russia 5.5: United States 5.9: Ireland 6.0   Finally out comes the Irish competitor wearing a tatty old donkey jacket, with his skates tied over his wellies. He reaches the ice, trips straight away and bangs his nose which starts bleeding. He tries to get up, staggers a few paces then slips again. He spends his entire 'routine' getting up then falling over again. Finally he crawls off the ice a tattered and bleeding mess.   The Judges' scores read: Britain 0.0: Russia 0.0: United States 0.0: Ireland 6.0   The other 3 judges turn to the Irish judge and demand in unison, ""How the hell can you give that mess 6.0?!""   To which the Irish judge replies ""You've gotta remember, it's damn slippery out there.""",Sports,stupidstuff,1.5,337
"Three athletes were standing in line waiting to enter the Olympic Village. The first guy is carrying a discus, and he walks up to the guard and says, ""Soviet Discus Team."" The guard says ""pass"".  The second guy is carring a vaulting pole, and he walks up to the guard and says, ""East German Pole Vaulting Team."" The guard says ""pass"".  The third guy is carrying a rolled up chain-link fence on his shoulder, he walks up to the guard and says, ""Polish Fencing Team."" ""Pass...""",Sports,stupidstuff,2.67,118
"Our story begins at the Olympics, specifically the wrestling event. It is narrowed down to the Russian or the American for the gold medal.   Before the final match, the American wrestler's trainer came to him and said, ""Now don't forget all the research we've done on this Russian. He's never lost a match because of this ""pretzel"" hold he has. Whatever you do, don't let him get you in this hold! If he does, you're finished!""   The wrestler nodded in agreement. Now, to the match The American and the Russian circled each other several times looking for an opening. All of a sudden the Russian lunged forward, grabbing the American and wrapping him up in the dreaded pretzel hold! A sigh of disappointment went up from the crowd, and the trainer buried his face in his hands for he knew all was lost. He couldn't watch the ending.   Suddenly there was a scream, a cheer from the crowd, and the trainer raised his eye just in time to see the Russian flying up in the air. The Russian's back hit the mat with a thud, and the American weakly collapsed on top of him, getting the pin and winning the match.   The trainer was astounded! When he finally got the American wrestler alone, he asks, ""How did you ever get out of that hold? No one has ever done it before!"" The wrestler answered, ""Well, I was ready to give up when he got me in that hold, but at the last moment, I opened my eyes and saw this pair of balls right in front of my face.   ""I thought I had nothing to lose, so with my last ounce of strength I stretched out my neck and bit those babies just as hard as I could.   ""You'd be amazed how strong you get when you bite your own balls!""",Sports,stupidstuff,4.33,385
"Golfer: ""I've played so poorly all day; I think I'm going to go drown myself in that lake.""Caddy: ""I doubt you could keep your head down that long.""Golfer: ""I'd move heaven and earth to be able to break 100 on this course.""Caddy: ""Try heaven. You've already moved most of the earth.""Golfer: ""Well, I have never played this badly before!Caddy: ""I didn't realize you had played before, sir.""Golfer: ""Caddy, do you think my game is improving?""Caddy: ""Oh yes, sir! You miss the ball much closer than you used to.""Golfer: ""Please stop checking your watch all the time, caddy. It's distracting!""Caddy: ""This isn't a watch, sir, its a compass!""Golfer: ""Caddy, do you think it is a sin to play golf on Sunday?""Caddy: ""The way you play, sir, it's a sin any day of the week!""Golfer: ""This golf is a funny game.""Caddy: ""It's not supposed to be.""Golfer: ""That can't be my ball, caddy. It looks far too old.""Caddy: ""It's a long time since we started, sir.""Golfer: ""Do you think I can get there with a 5-iron?""Caddy: ""Eventually.""Golfer (screaming): ""You've got to be the worst caddy in the world!""Caddy: ""I doubt it. That would be too much of a coincidence!""",Sports,stupidstuff,1.0,347
"These are actual warnings given on various products:  1. On a blanket from Taiwan - NOT TO BE USED AS PROTECTION FROM A TORNADO.   2. On a helmet mounted mirror used by US cyclists - REMEMBER, OBJECTS IN THE MIRROR ARE ACTUALLY BEHIND YOU.   3. On a Taiwanese shampoo - USE REPEATEDLY FOR SEVERE DAMAGE.   4. On the bottle-top of a (UK) flavoured milk drink AFTER OPENING, KEEP UPRIGHT.   5. On a New Zealand insect spray - THIS PRODUCT NOT TESTED ON ANIMALS.   6. In a US guide to setting up a new computer - TO AVOID CONDENSATION FORMING, ALLOW THE BOXES TO WARM UP TO ROOM TEMPERATURE BEFORE OPENING. (Sensible, but the instruction was INSIDE the box.)   7. In some countries, on the bottom of Coke bottles OPEN OTHER END.   8. On a packet of Sunmaid raisins - WHY NOT TRY TOSSING OVER YOUR FAVOURITE BREAKFAST CEREAL?   9. On a Sears hairdryer - DO NOT USE WHILE SLEEPING.   10. On a bag of Fritos - YOU COULD BE A WINNER! NO PURCHASE NECESSARY. DETAILS INSIDE.   11. On a bar of Dial soap - DIRECTIONS - USE LIKE REGULAR SOAP.   12. On Tesco's Tiramisu dessert (printed on bottom of the box)- DO NOT TURN UPSIDE DOWN.   13. On Marks & Spencer Bread Pudding - PRODUCT WILL BE HOT AFTER HEATING.   14. On a Korean kitchen knife - WARNING KEEP OUT OF CHILDREN.   15. On a string of Chinese-made Christmas lights - FOR INDOOR OR OUTDOOR USE ONLY.",Business,stupidstuff,4.6,422
"A one dollar bill met a 20 dollar bill and said, ""Hey, where've you been? I haven't seen you around here much.""  The twenty answered, ""I've been hanging out at the casinos, went on a cruise and did the rounds of the ship, back to the United States for awhile, went to a couple of baseball games, to the mall, that kind of stuff. How about you?""  The one dollar bill said, ""You know, same old stuff, church, church, church.""",Money,stupidstuff,1.5,108
"""So tell me, Mrs. Jones,"" asked the interviewer, ""do you have any other skills you think might be worth mentioning?"" ""Well, actually, yes,"" said the applicant modestly. ""Last year I had two short stories published in national magazines, andI also finished my novel.""""Very impressive,"" commented the interviewer, ""but I was thinking of skills you could apply during office hours.""Mrs. Jones explained brightly, ""Oh, that was during office hours.""",Office Jokes,stupidstuff,1.0,98
"A guy goes to the Post Office to interview for a job.The interviewer asks him, ""Are you a veteran?"" The guy says, ""Why yes, in fact, I served two tours in Vietnam.""""Good,"" says the interviewer, ""That counts in your favor. Do you have any service-related disabilities?""The guy says, ""In fact I am 100% disabled. During a battle, an explosion removed my private parts so they declared me disabled, it doesn't affect my ability to work, though.""""Sorry to hear about the damage, but I have some good news for you, I can hire you right now! Our working hours are 8 to 4. Come on in about 10, and we'll get you started.""The guy says, ""If working hours are from 8 to 4, why do you want me to come at 10?""""Well, here at the post office, we don't do anything but sit around and scratch our balls for the first two hours. Don't need you here for that!""",Office Jokes,stupidstuff,3.5,209
"Things You Don't Want to Hear During Surgery:- Oops! - Has anyone seen my watch? - That was some party last night I        can't remember when I've been that   drunk.- Damn! Page 47 of the manual is   missing!- Well this book doesn't say that...    What edition is your manual?- OK, now take a picture from this   angle. This is truly a freak of   nature.- Better save that. We'll need it for   the autopsy.- Come back with that! Bad Dog!- Wait a minute, if this is his spleen,   then what's that?- Hand me that...uh...that   uh... thingie- If I can just remember how they did   this on ER last week.- Hey, has anyone ever survived 500ml   of this stuff before?- Damn, there go the lights again...- Ya know, there's big money in   kidneys. Hell, the guy's got two   of 'em.- Everybody stand back! I lost my   contact lens!- Could you stop that thing from   beating; it's throwing my   concentration off.- I wish I hadn't forgotten my glasses.- Well folks, this will be an   experiment for all of us.- Steril, shcmeril. The floor's clean,   right?- What do you mean he wasn't in for a   sex change!- What do you mean, he's not insured?- This patient has already had some   kids, am I correct?- Nurse, did this patient sign the   organ donation card?- Don't worry. I think it is sharp   enough.- What do you mean ""You want a divorce""!- I don't know what it is, but hurry up   and pack it in ice.- Let's hurry, I don't want to   miss ""Bay Watch""- That laughing gas stuff is pretty   cool. Can I have some more of that?- Hey Charlie, unzip the bag on that   one, he's still moving.- Did the doctor know he would look   like that afterwards?- Of course I've performed this   operation before, Nurse!- FIRE! FIRE! Everyone get out!",Money,stupidstuff,5.0,485
"A man with no arms walked in to a bar and asked for a beer. The bartender shoved the foaming glass in front of him.""Look,"" said the customer, ""I have no arms - would you please hold the glass up to my mouth?""""Sure"", said the bartender, and he did.""Now,"" said the customer, ""I wonder if you'd be so kind as to get my handkerchief out of my pocket and wipe the foam off my mouth.""""Certainly."" And it was done.""If you'd reach in my right hand pants pocket,"" said the armlessman, ""you'll find the money for the beer.""The bartender got it.""You've been very kind,"" said the customer. ""Just one thing more.Where is the men's room?""""Out the door,"" said the bartender, ""turn left, walk two blocks,and there's one in a filling station on the corner.""",Money,stupidstuff,4.0,189
"A man died and went to heaven. As he stood in front of St. Peter at the Pearly Gates, he saw a huge wall of clocks behind him. He asked, ""What are all those clocks?"" St. Peter answered, ""Those are Lie-Clocks. Everyone on Earth has a Lie-Clock. Every time you lie the hands on your clock will move."" ""Oh,"" said the man, ""Whose clock is that?"" ""That's Mother Teresa's. The hands have never moved, indicating that she never told a lie."" ""Incredible,"" said the man. ""And whose clock is that one?"" St. Peter responded, ""That's Abraham Lincoln's clock. The hands have moved twice, telling us that Abe told only two lies in his entire life."" ""Where's George Bush's clock?"" asked the man. ""Bush's clock is in Jesus' office. He's using it as a ceiling fan.""",Office Jokes,stupidstuff,3.17,193
"Two bone weary public servants were working their little hearts and souls out. Their department was just too busy for staff to be able take flex. But there had to be a way... One of the two public servants suddenly lifted his head. ""I know how to get some time off work"" the man whispered.  ""How?"" asked the second worker.  Instead of answering, the man quickly looked around. No sign of his Director. He jumped up on his desk, kicked out a couple of ceiling tiles and hoisted himself up. ""Look!"" he hissed, then swinging his legs over a metal pipe, hung upside down.  Within seconds, the Director emerged from the Branch Head's office at the far end of the floor. He saw the worker hanging from the ceiling, and asked him what on earth he thought he was doing.  ""I'm a light bulb"" answered the public servant.  ""I think you need some time off,"" barked the Director. ""Get out of here - that's an order - and I don't want to see you back here for at least another two days! You understand me?""  ""Yes sir"", the public servant answered meekly, then jumped down, logged off his computer and left.  The second worker was hot on his heels.  ""Where do you think you're going?"" the boss asked.  ""Home,"" he said lightly. ""I can't work in the dark.""",Office Jokes,stupidstuff,2.67,297
"A limousine had encountered a red traffic light and was waiting for it to change when a small mini also drives up. The haughty businessman int he back of the limousine started bragging to the mini owner. ""This is the best limo that money can buy. It has ABS, airbags for all passengers, automatic climate control, onboard computer control system, photochromatic glass, mini bar, a television with satellite dish embedded in the roof, blah blah blah... "" At this point the mini owner interrupted. ""But do you have a video in there?"" The light changed just then, and the limo driver pulled off. The businessman in back felt a bit down that he didn't have this simple item, and that very day had one installed in the limo. A few days passed, and again the limo was at a traffic light when the businessman spotted the mini. It was pulled over to a side, with the glass all steamed up, and steam coming from a half open window. Upon seeing this, the businessman got out of his car and knocked on the window of the mini. After a few moments, the mini owner poked his head out. ""I installed a VCR in my limo,"" said the businessman proudly. ""What!?!' the mini-man responded. ""You got me out of the shower for THAT?""",Money,stupidstuff,3.67,280
"Q: Why did Kobe Bryant buy a dictionary?A: To figure out what part of ""no"" he doesn't understand. Q: Why is Kobe Bryant so confident that he'll rebound well after this scandal?A: Because he'll be the tallest player on the prison team. Q: Why is Kobe Bryant stacking money in his backyard?A: To practice jumping bail. Q: Why has Kobe Bryant started smoking a little pot?A: To help him prepare for the Big Joint. Q: Why does Kobe wear goggles during sex?A: To keep the mace out of his eyes. Q: What do Gigli and Kobe Bryant have in common?A: Both leave people in tears feeling screwed. Q: Who's the head lawyer on Kobe's legal team?A: The one with dirt on his knees. Q: Why is Kobe Bryant so worried about jury prejudice during his trial?A: Cuz no one likes a rapist. Q: How is Kobe Bryant spending his free time this summer?A: By adding a second bedroom to the dog house. Q: Why did Kobe add the letter ""O"" to his bracelet?A: So it would stand for: ""What Would O.J. Do?"". Q: Why did Kobe buy his wife such a huge diamond?A: Because the weight of it slows down her punches. Q: What did Shaq say when he heard of Kobe's marital infidelity?A: Kobe making a pass? She must be lying. Q: What did President Bush say when he heard that Sprite might drop Kobe?A: ""Who cares, I'm a coke man myself.""",Money,stupidstuff,4.0,335
"One day, down in the mystical forest, a magical frog was hopping towards a water hole. The forest was so enormous that the frog had never laid eyes on another animal before. But today, by chance a bear was chasing after a rabbit to have for dinner.   The frog called for the two to stop and said, ""Because you are the only two animals I have seen, I will grant both of you three wishes. Bear, you can go first."" The bear thought for a moment, and being the male he was, said, ""I wish for all the bears in this forest, apart from me, to be female.""   For his wish, the rabbit asked for a crash helmet, and immediately put it on. The bear was amazed at the stupidity of the rabbit, wasting his wish like that.   It was the bear's second turn for a wish. ""Well, I wish that all the bears in the next forest were female as well.""   The rabbit asked for a motorcycle and immediately hopped on it and roared the engine. The bear was shocked that the rabbit was asking for such idiotic items, because after all, he could have asked for money and bought the bike.   For the last wish the bear thought for a while and then said, ""I wish that all the bears in the world, apart from me, were female.""   The rabbit grinned, roared the engine, and said, ""I wish that the bear was gay.""",Money,stupidstuff,4.33,303
"Moses and Jesus were in a threesome playing golf one day. Moses pulled up to the tee and drove a long one. The ball landed in the fairway, but rolled directly toward a water hazard. Quickly Moses raised his club, the water parted and it rolled to the other side, safe and sound. Next, Jesus strolled up to the tee and hit a nice long one directly toward the same water hazard. It landed right in the centre of the pond and kind of hovered over the water. Jesus casually walked out on the pond and chipped the ball onto the green. The third guy got up and randomly whacked the ball. It headed out over the fence and into oncoming traffic on a nearby street. It bounced off a truck and hit a nearby tree. From there, it bounced onto the roof of a shack close by and rolled down into the gutter, down the drain spout, out onto the fairway and straight toward the aforementioned pond. On the way to the pond, the ball hit a stone and bounced out over the water onto a lily pad, where it rested quietly. Suddenly a very large bullfrog jumped up on a lily pad and snatched the ball into his mouth. Just then, an eagle swooped down and grabbed the frog and flew away. As they passed over the green, the frog squealed with fright and dropped the ball, which bounced right into the cup for a hole in one. Moses turned to Jesus and said, ""I hate playing with your Dad.""",Sports,stupidstuff,4.8,313
"Three scots and three englishmen are traveling by train to a football match. At the station, the three englishmen each buy tickets and watch as the three scots buy only a single ticket.  ""How are three people going to travel on only one ticket?"" asked one of the three Englanders.  ""Watch and you'll see,"" answers one of the Scotsmen.  They all board the train. The Englishmen take their respective seats but all three scotsmen cram into a toilet and close the door behind them. Shortly after the train has departed, the conductor comes around collecting tickets. He knocks on the toilet door and says, ""Ticket, please."" The door opens just a crack and a single arm emerges with a ticket in hand. The conductor takes it and moves on.  The English saw this and agreed it was quite a clever idea. So after the conference, the Englishmen decide to copy the Scots on the return trip and save some money. When they get to the station, they buy a single ticket for the return trip. To their astonishment, the Scots don't buy a ticket at all.  ""How are you going to travel without a ticket,"" asks one perplexed Englishman.  ""Watch and you'll see,"" says one of the Scotsmen. When they board the train the three Scots cram into a toilet and the three Englishmen cram into another one nearby.  The train departs. Shortly afterward, one of the Scots leaves his restroom and walks over to the restroom where the Englishmen are hiding. He knocks on the door and says, ""Ticket, please.""",Money,stupidstuff,4.0,332
